,194,198,200,201,203,205,208,213,219,222,227,234,243,244,246,441,450,1093,1095,1097,1102,1104,1105,1109,1111,1112,1113,1115,1118,1127
X1,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X2,np,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,nn,hk,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X3,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,np,np,np,kk,hh,--,kk,kk,kk,np,kk,np,nn,--,nn,nn,nn,nn
X4,nn,nn,np,np,np,nn,np,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X5,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X6,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X7,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,hh,kk,kk,hk,kk,hk,nn,hk,nn,nn,nn,nn,nn,np,nn
X8,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,hk,hk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X9,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X10,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X11,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X12,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X13,np,np,nn,nn,--,np,nn,nn,np,nn,nn,nn,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X14,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X15,nn,np,np,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X16,--,nn,np,np,np,nn,np,nn,nn,nn,np,--,--,np,--,kk,hh,kk,--,kk,kk,np,kk,--,nn,nn,np,np,np,--
X17,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X18,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,nn,nn,hk,hk,hk,hk,kk,kk,np,hk,nn,nn,nn,nn,nn,nn,nn
X19,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X20,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X21,nn,nn,np,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,hk,hk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X22,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,np,np
X23,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X24,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X25,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,hk,hk,hh,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X26,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X27,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X28,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,nn,np,np
X29,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X30,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X31,nn,nn,np,nn,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,hk,kk,kk,kk,kk,np,kk,np,nn,nn,np,np,np,np
X32,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,kk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X33,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,hh,hk,hk,hk,hk,hk,np,hk,nn,np,np,np,np,np,np
X34,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X35,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X36,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X37,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X38,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X39,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,np
X40,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X41,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X42,np,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X43,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X44,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,kk,hh,hk,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X45,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,nn,nn,nn
X46,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X47,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,hk,hh,kk,kk,kk,kk,nn,hk,nn,nn,nn,nn,nn,np,nn
X48,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X49,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X50,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,nn,np,np,hk,kk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X51,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X52,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,np
X53,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X54,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X55,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X56,np,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,kk,hk,hh,hh,hh,hh,nn,hh,nn,np,np,np,np,np,np
X57,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X58,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,--,np,np,hh,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X59,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X60,nn,nn,np,np,np,nn,np,np,nn,np,--,--,nn,nn,nn,hk,hk,hk,kk,hk,hh,nn,hk,nn,np,--,np,nn,np,np
X61,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,hk,hk,hk,kk,nn,hk,nn,np,np,np,np,np,np
X62,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X63,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X64,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,nn,hk,np,nn,nn,nn,nn,nn,nn
X65,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X66,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X67,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,nn,nn
X68,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X69,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X70,np,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X71,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,hk,hh,kk,np,hk,np,nn,nn,nn,nn,nn,nn
X72,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,hk,hk,hk,hk,hk,hk,np,hk,np,nn,np,np,np,np,np
X73,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X74,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X75,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hk,hk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X76,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hh,hh,hh,hk,nn,hh,nn,np,np,np,np,np,np
X77,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X78,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X79,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,np,np,np,hk,hk,hh,hh,hh,hh,nn,hh,nn,nn,nn,nn,nn,nn,nn
X80,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X81,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,kk,kk,kk,kk,np,kk,nn,np,np,np,np,np,np
X82,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X83,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X84,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,nn,nn,hh,kk,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X85,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hh,hk,hk,hk,np,hk,np,nn,nn,nn,nn,nn,nn
X86,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,nn,np,np,np
X87,nn,nn,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,hk,hk,hk,kk,kk,kk,nn,hk,np,nn,nn,nn,nn,nn,nn
X88,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
X89,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,kk,hh,hk,hk,hk,hk,np,hk,np,nn,nn,np,nn,nn,nn
X90,np,np,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,np,hh,kk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X91,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,hk,hk,kk,kk,kk,kk,np,kk,np,nn,nn,nn,nn,nn,nn
X92,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,kk,hk,hh,hk,hk,hk,nn,hk,nn,np,np,np,np,np,np
